StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q24,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q32,message_final,SC0,ID,Recipient_Demographics,backbutton,sourcefile,gender,country,string,U,V
2020-07-13 18:14:20,2020-07-13 18:46:04,0,100,1903,1,2020-07-13 18:46:04,R_1HACs5yjrkQZ94Z,anonymous,EN,1,1,3,0.533,1807.628,1811.981,109,"The online work with family obliteration its very useful money people expert this types work.The work save time earn lots of money easily just known fluent  English  language Patience.The work experience is very good and interesting to work.when we work this type of jobs can understand life ideas we know creative ideas. The work experience is feel very happy low level stress no depression and no tension. We are work with family and friends our own ideas so lots peoples try to get this type of jobs so some people use this chance to fool online advertisement .This job is well trusted and hopeful so i will work day by  day continuously.The work  benefits is improve English knowledge  clear mentally problems high paid job so no money problem.this job helpful  in critical times for money.my family members also work this job continuously because they are enjoying  this job.work is available any time want good internet connection only. This jobs is work in every places is own laptop or own computer and internet connection.but all peoples are not eligible to work because not good English 
 language  so not eligible all peoples only know  fluent English language for  eligible to this  work","The online work with family obliteration its very useful money people expert this types work.The work save time earn lots of money easily just known fluent  English  language Patience.The work experience is very good and interesting to work.when we work this type of jobs can understand life ideas we know creative ideas. The work experience is feel very happy low level stress no depression and no tension. We are work with family and friends our own ideas so lots peoples try to get this type of jobs so some people use this chance to fool online advertisement .This job is well trusted and hopeful so i will work day by  day continuously.The work  benefits is improve English knowledge  clear mentally problems high paid job so no money problem.this job helpful  in critical times for money.my family members also work this job continuously because they are enjoying  this job.work is available any time want good internet connection only. This jobs is work in every places is own laptop or own computer and internet connection.but all peoples are not eligible to work because not good English 
 language  so not eligible all peoples only know  fluent English language for  eligible to this  work",0,1,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/1_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-14_120047.csv,M,IN,Indian man,3,3
2020-07-13 19:15:45,2020-07-13 19:30:02,0,100,857,1,2020-07-13 19:30:03,R_9QAkbKrx3uSuwsV,anonymous,EN,1,1,3,24.916,59.023,646.05,2,"Online work is very useful one for every one life. It's Most important one to useful for all kind of people in the world. Then also family obligations are very very important of every human life. That's only improve their family life and happiness. I am tell to you online work is very important and also family obligation are very important both two are consider as two eyes in our body . Kept it up both in your life this only are growth your life financially free and live happy for ever your life. your also already experience on Mturk field already you know that work and rewards. Kept it up in your life. Fit for Work can help supplement the advice an employee receives from their employer’s occupational health provider or through their own private insurance. It can also be used to supplement employers’ sickness absence policies and procedures.The success of jobs search engines in bridging the gap between jobseekers and employers has spawned thousands of job sites, many of which list job opportunities in a specific sector, such as education, health care, hospital management, academics and even in the non-governmental sector. These sites range from broad all-purpose generalist job boards to niche sites that serve various audiences, geographies, and industries. Many industry experts are encouraging jobseekers to concentrate on industry specific sector sites.","Online work is very useful one for every one life. It's Most important one to useful for all kind of people in the world. Then also family obligations are very very important of every human life. That's only improve their family life and happiness. I am tell to you online work is very important and also family obligation are very important both two are consider as two eyes in our body . Kept it up both in your life this only are growth your life financially free and live happy for ever your life. your also already experience on Mturk field already you know that work and rewards. Kept it up in your life. The success of jobs search engines in bridging the gap between jobseekers and employers has spawned thousands of job sites, many of which list job opportunities in a specific sector, such as education, health care, hospital management, academics and even in the non-governmental sector. These sites range from broad all-purpose generalist job boards to niche sites that serve various audiences, geographies, and industries. Many industry experts are encouraging jobseekers to concentrate on industry specific sector sites. Fit for Work can help supplement the advice an employee receives from their employer’s occupational health provider or through their own private insurance. It can also be used to supplement employers’ sickness absence policies and procedures",0,2,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/2_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-14_120047.csv,M,IN,Indian man,3,3
2020-07-13 19:37:36,2020-07-13 19:52:51,0,100,914,1,2020-07-13 19:52:52,R_3jZqNQrsAhTmPY1,anonymous,EN,1,1,3,0.486,730.958,731.879,43,MY ONLINE WORK EXPERIENCE IN 5 YEARS . IT IS VERY EASY TO EARN MONEY AND . VERY EASY TO WORK FROM ONLINE . THIS JOBS FROM ONLY ONLINE WORKERS . THIS IS VERY US FULL OFFER FOR ALL PEOPLES . IN THIS SITUATION IN CORONA VIRUS PANDEMIC TIME IN VERY USEFUL TO ONLINE WORKS IN ALL OFF THE PEOPLES . IT IS VERY USEFUL TO FUTURE AND MAINTAIN IN OUR FAMILY . ONE MIDDLE CLASS  FAMILY IS VERY USEFUL THAT OPPORTUNITY . USE THIS OPPORTUNITY. VERY EASY TO WORK FROM ONLINE AND EASY WAY TO EARN MONEY FROM HOUSE . LEARN THE JOB AND EARN THE MONEY EASILY . THAT IS VERY EASY WAY TO FAMILY MAINTAIN . AND COLLAGE STUDENTS AND SCHOOL STUDENTS AND OLD FAMILY MEMBERS WORK PART TIME ON ONLINE WORK . VERY EASY WORK TO ON THIS TIME AND EARN MONEY . IT IS VERY EASY TO WORK IN HOME . THAT WORK WORK IN COMPUTER AND PC AND SMART PHONES AND I PHONES IT IS VERY EASY WAY TO WROK EASY TO EARN MONEY MONTHLY 40000 SALARY CONFORM VERY EASY TO EARN MONEY IT IS VERY EASY WORK FROM OUR HOME AND FAMILY .,MY ONLINE WORK EXPERIENCE IN 5 YEARS . IT IS VERY EASY TO EARN MONEY AND . VERY EASY TO WORK FROM ONLINE . THIS JOBS FROM ONLY ONLINE WORKERS . THIS IS VERY US FULL OFFER FOR ALL PEOPLES . IN THIS SITUATION IN CORONA VIRUS PANDEMIC TIME IN VERY USEFUL TO ONLINE WORKS IN ALL OFF THE PEOPLES . IT IS VERY USEFUL TO FUTURE AND MAINTAIN IN OUR FAMILY . ONE MIDDLE CLASS  FAMILY IS VERY USEFUL THAT OPPORTUNITY . USE THIS OPPORTUNITY. VERY EASY TO WORK FROM ONLINE AND EASY WAY TO EARN MONEY FROM HOUSE . LEARN THE JOB AND EARN THE MONEY EASILY . THAT IS VERY EASY WAY TO FAMILY MAINTAIN . AND COLLAGE STUDENTS AND SCHOOL STUDENTS AND OLD FAMILY MEMBERS WORK PART TIME ON ONLINE WORK . VERY EASY WORK TO ON THIS TIME AND EARN MONEY . IT IS VERY EASY TO WORK IN HOME . THAT WORK WORK IN COMPUTER AND PC AND SMART PHONES AND I PHONES IT IS VERY EASY WAY TO WROK EASY TO EARN MONEY MONTHLY 40000 SALARY CONFORM VERY EASY TO EARN MONEY IT IS VERY EASY WORK FROM OUR HOME AND FAMILY .,0,3,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/3_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-14_120047.csv,M,IN,Indian man,3,3
2020-07-13 20:23:46,2020-07-13 20:35:23,0,100,697,1,2020-07-13 20:35:23,R_r9JwbQw8RhrDY7T,anonymous,EN,1,1,3,0.808,536.519,559.473,19,"I would just like to say that I am working from home still and live in a small house and have a child, which kind of makes it very difficult to manage everything. So, I have started getting more patient and mostly trying to work in a separate room away from the whole family. As I do live in a very small house that is difficult sometimes, so I actually did sit down my whole family and told them how to act when I am working and not disturbing me during. They understood that  I need space to work and did distance themselves from me.
You can also just try doing the work when everyone is asleep if that is possible or even wake up really early to do it. I mostly did my work when everyone was asleep which gave me peace of mind. I remember this one day I tried doing my work at night but couldn't and then ended up missing the day's pay, so you do have to get used to it to work. 
But, mostly I would really suggest that you should make your family understand that working in the home is going to part of their lives and they have to give enough space for that.
","I would just like to say that I am working from home still and live in a small house and have a child, which kind of makes it very difficult to manage everything. So, I have started getting more patient and mostly trying to work in a separate room away from the whole family. As I do live in a very small house that is difficult sometimes, so I actually did sit down my whole family and told them how to act when I am working and not disturbing me during. They understood that  I need space to work and did distance themselves from me.
You can also just try doing the work when everyone is asleep if that is possible or even wake up really early to do it. I mostly did my work when everyone was asleep which gave me peace of mind. I remember this one day I tried doing my work at night but couldn't and then ended up missing the day's pay, so you do have to get used to it to work. 
But, mostly I would really suggest that you should make your family understand that working in the home is going to part of their lives and they have to give enough space for that.
",0,4,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/4_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-14_120047.csv,M,IN,Indian man,3,3
2020-07-21 13:55:16,2020-07-21 14:18:26,IP Address,100,1389,True,2020-07-21 14:18:26,R_31RFGltwMPPJSL9,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,72.105,581.005,583.095,38,"Hi

Advantages of online working with family obligations:1.you can help the family members by earning money and giving them a good Financial support.
2 YOU can help ourselves as a busy person instead of roaming outside by wasting time.
3. Learn about the world and it's surrounding.
4.bLearn about new apps and get experience


Disadvantages:
1. You need to constantly monitor or to work being available every time.
2. You can have some health effects also like back pain,leg cramps etc.,
3. You have to work on the topic which you don't like based on the requester as a requestee.
","Hi

Advantages of online working with family obligations:
1.You can help the family members by earning money and giving them a good Financial support.
2 YOU can help ourselves as a busy person instead of roaming outside by wasting time.
3. Learn about the world and it's surrounding.
4. Learn about new apps and get experience
5. Feels enthusiastic,if you like the topic and feel like you can work more like this type of work.
6. You can just complete the work in any given time instead of some person is monitoring you constantly from the back.
7. Can enjoy the break at any time.
8. You can work from any area on any device.
9. Time will not be wasted in traveling.


Disadvantages:
1. You need to constantly monitor or to work being available every time.
2. You can have some health effects also like back pain,leg cramps etc.,
3. You have to work on the topic which you don't like based on the requester as a requestee.
4. You won't be able to give much time to your family and friends.
5.Sometimes need to work for hours to complete the work given.
6. Less interaction on general topics.

",0,5,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/5_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-22_120108.csv,M,IN,Indian man,3,3
2020-07-21 15:05:54,2020-07-21 15:12:39,IP Address,100,405,True,2020-07-21 15:12:40,R_esW1FG1F7qTJ0uB,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,1.976,81.324,336.104,9,"A user of Mechanical Turk can be either a ""Worker"" (contractor) or a ""Requester"" (employer). Workers have access to a dashboard that displays three sections: total earnings, HIT status and HIT totals. Workers set their own hours and are not under any obligation to accept any particular task. Workers are classified by Amazon as contractors rather than employees, and refuse to file forms or pay payroll taxes. This is aimed to evade the minimum wage, overtime, and workers compensation. Workers must report their income as self-employment income. In 2013, the average wage for the multiple microtasks assigned, if performed quickly, is about one dollar an hour, with each task averaging a few cents.Workers can have a postal address anywhere in the world. Payment for completing tasks can be redeemed on Amazon.com via gift certificate (gift certificates are the only payment option available to international workers, apart from India) or be later transferred to a Worker's U.S. bank account.

Requesters can ask that Workers fulfill qualifications before engaging in a task, and they can set up a test in order to verify the qualification. They can also accept or reject the result sent by the Worker, which affects the Worker's reputation. As of April 2019, Requesters paid Amazon a minimum 20% commission on the price of successfully completed jobs, with increased amounts for additional services. Requesters can use the Amazon Mechanical Turk API to programmatically integrate the results of that work directly into their business processes and systems. When employers set up their job, they must specify

how much are they paying for each HIT accomplished,
how many workers they want to work on each HIT,
maximum time a worker has to work on a single task,
how much time the workers have to complete the work,
as well as the specific details about the job they want to be completed.","A user of Mechanical Turk can be either a ""Worker"" (contractor) or a ""Requester"" (employer). Workers have access to a dashboard that displays three sections: total earnings, HIT status and HIT totals. Workers set their own hours and are not under any obligation to accept any particular task. Workers are classified by Amazon as contractors rather than employees, and refuse to file forms or pay payroll taxes. This is aimed to evade the minimum wage, overtime, and workers compensation. Workers must report their income as self-employment income. In 2013, the average wage for the multiple microtasks assigned, if performed quickly, is about one dollar an hour, with each task averaging a few cents.Workers can have a postal address anywhere in the world. Payment for completing tasks can be redeemed on Amazon.com via gift certificate (gift certificates are the only payment option available to international workers, apart from India) or be later transferred to a Worker's U.S. bank account.

Requesters can ask that Workers fulfill qualifications before engaging in a task, and they can set up a test in order to verify the qualification. They can also accept or reject the result sent by the Worker, which affects the Worker's reputation. As of April 2019, Requesters paid Amazon a minimum 20% commission on the price of successfully completed jobs, with increased amounts for additional services. Requesters can use the Amazon Mechanical Turk API to programmatically integrate the results of that work directly into their business processes and systems. When employers set up their job, they must specify

how much are they paying for each HIT accomplished,
how many workers they want to work on each HIT,
maximum time a worker has to work on a single task,
how much time the workers have to complete the work,
as well as the specific details about the job they want to be completed.",0,6,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/6_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-22_120108.csv,M,IN,Indian man,3,3
2020-07-21 15:25:53,2020-07-21 15:31:39,IP Address,100,346,True,2020-07-21 15:31:40,R_1H1chiqoH8mVhfX,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,11.997,219.474,314.086,37,"The absence, inadequacy or inaccessibility of minding and support structures for children or old people obliges women with family responsibilities to work part
de-ser-blog-reconciling-work-and-family-life For example, the kindergarten or daycare center may sometimes go on strike. The Mannheim and Penzberg
experienced in its efforts to reconcile work and family life. 5. WORK ... include a general commitment to reconciliation of work and family life as a mainstream trend toward My partner works part-time now and he would not take parental leave.
 The work-life balance definition is the achievement of harmony a satisfying professional life means that their own work brings visible and of many employees is based on the strong support of their families.If the employee then neglected his/her external
The indicator is based on the European System of Accounts should be to raise the employment rate to as close to 70% as possible by 2010 and widespread in sectors that experience seasonal activity ... reconciling work and family and social commitments outside elderly people live in their own household in northern.
They've discovered through hard experience that prospering in the senior ranks They also vigilantly manage their own human capital, endeavoring to give both in our research said they reconcile their professional and personal lives.When work and family responsibilities collide, for example,","The absence, inadequacy or inaccessibility of minding and support structures for children or old people obliges women with family responsibilities to work part
de-ser-blog-reconciling-work-and-family-life For example, the kindergarten or daycare center may sometimes go on strike. The Mannheim and Penzberg
experienced in its efforts to reconcile work and family life. 5. WORK ... include a general commitment to reconciliation of work and family life as a mainstream trend toward My partner works part-time now and he would not take parental leave.
 The work-life balance definition is the achievement of harmony a satisfying professional life means that their own work brings visible and of many employees is based on the strong support of their families.If the employee then neglected his/her external
The indicator is based on the European System of Accounts should be to raise the employment rate to as close to 70% as possible by 2010 and widespread in sectors that experience seasonal activity ... reconciling work and family and social commitments outside elderly people live in their own household in northern.
They've discovered through hard experience that prospering in the senior ranks They also vigilantly manage their own human capital, endeavoring to give both in our research said they reconcile their professional and personal lives.When work and family responsibilities collide, for example,",0,7,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/7_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-22_120108.csv,M,IN,Indian man,3,3
2020-07-21 16:47:14,2020-07-21 16:53:07,IP Address,100,352,True,2020-07-21 16:53:07,R_1rjltipQZAq6gcW,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,24.817,222.153,309.616,14,"amazon mechanial turk online work aldry have worked on tv very good.its very useull.Work weeks are when most of us tend to be the busiest. By preparing for Monday’s arrival, you can ease the stress of the week ahead. Keep a family calendar posted on the fridge. On Sunday, look at what’s on tap for the week and plan how you are going to manage the week. Where you can, make meals on the weekend and put them in the refrigerator or freezer for a quick reheat on a busy evening. This can be an activity where you can involve and enlist your older children’s help. Before shopping for groceries, get your cookbooks out and make a list of several meals for the following week and make your grocery list from your menu list. After work stress is often more in deciding what to make for supper than in actually making it. If you go home for lunch, do some initial meal preparation then so that it cuts down on your after-work meal prep time.With so many demands on our time, it’s hard to be everything to everyone. You may be juggling a number of roles and goals in your life. You want to be successful at work, enjoy a healthy couple relationship, be an involved parent. You may have goals of furthering your education, maintaining a home, contributing to your community, keeping to a fitness regimen, saving for early retirement. Further, you may be juggling extended family issues, like caring for aging parents or dealing with an illness in the family. All of these things take your time and energy and often run into conflict with each other. As there are only 24 hours in a day, you may have to think about your values and set some priorities based on those values. For example, if “being an involved parent” is a priority for you – setting aside time each night to play with your children might take priority over working those over-time hours in order to finance a bigger home.

","amazon mechanial turk online work aldry have worked on tv very good.its very useull.Work weeks are when most of us tend to be the busiest. By preparing for Monday’s arrival, you can ease the stress of the week ahead. Keep a family calendar posted on the fridge. On Sunday, look at what’s on tap for the week and plan how you are going to manage the week. Where you can, make meals on the weekend and put them in the refrigerator or freezer for a quick reheat on a busy evening. This can be an activity where you can involve and enlist your older children’s help. Before shopping for groceries, get your cookbooks out and make a list of several meals for the following week and make your grocery list from your menu list. After work stress is often more in deciding what to make for supper than in actually making it. If you go home for lunch, do some initial meal preparation then so that it cuts down on your after-work meal prep time.With so many demands on our time, it’s hard to be everything to everyone. You may be juggling a number of roles and goals in your life. You want to be successful at work, enjoy a healthy couple relationship, be an involved parent. You may have goals of furthering your education, maintaining a home, contributing to your community, keeping to a fitness regimen, saving for early retirement. Further, you may be juggling extended family issues, like caring for aging parents or dealing with an illness in the family. All of these things take your time and energy and often run into conflict with each other. As there are only 24 hours in a day, you may have to think about your values and set some priorities based on those values. For example, if “being an involved parent” is a priority for you – setting aside time each night to play with your children might take priority over working those over-time hours in order to finance a bigger home.

",0,8,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/8_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-22_120108.csv,M,IN,Indian man,3,3
2020-07-27 10:35:54,2020-07-27 10:52:56,IP Address,100,1021,True,2020-07-27 10:52:56,R_1PS5JZFk0QWMgc4,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,13.382,710.069,739.505,11,"I think when working online it's important to separate your work from your family. I will suggest you that set a specific time for working and give rest of your time to your family. Don't ever take a second away from your family time unless you get a very high paying hit on mturk. It's important that at the time of work, you give all your concentration to work and don't get distracted from other issues unless they too are very big issues. Have separate work hours. Now finding those fix work hours can be a issue because the nature of this job is very unpredictable but you need to observe the time when you can get most of good hits and make that time your work time. For example, in my case the best work comes from 6PM IST to 12 PM IST, so most of the time I don't even look for work during rest of the and I'm doing my own stuff then. 

Mturk can be tough to figure out so I would also suggest looking for some articles on how to make most money from mturk like using scripts and softwares, so that you can make more money during work time and then can give all your full attention to your family.","I think when working online it's important to separate your work from your family. I will suggest you that set a specific time for working and give rest of your time to your family. Don't ever take a second away from your family time unless you get a very high paying hit on mturk. It's also important that at the time of work, you give all your attention to work and don't get distracted from other stuff unless they too are big. Have separate work hours. Now finding those fix work hours can be a issue because the nature of this job is very unpredictable but you need to observe the time when you can get most of good hits and make that time your work time. For example, in my case the best work comes from 6PM IST to 12 PM IST, so most of the time I don't even look for work during rest of the and I'm doing my own stuff then. 

Mturk can be tough to figure out so I would also suggest looking for some articles on how to make most money from mturk like using scripts and softwares, so that you can make more money during work time and then can give all your full attention to your family.",0,9,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/9_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-28_100046.csv,M,IN,Indian man,3,3
2020-07-27 11:20:14,2020-07-27 11:51:01,IP Address,100,1847,True,2020-07-27 11:51:01,R_xEPMEQY1O3R6RZn,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,240.61,1587.79,1608.336,23,"Well, I think it’s about setting one’s priorities appropriately. Work and family both need your time. However, if you plan ahead and have the support of people around you - you can balance both. 

Planning can come down to deciding how time you want to dedicate to work and your family. Choosing a time of the day when you’re most productive (work) can make a big difference. But it still won’t amount to much without the support of the people you’re with. 

Talk to them, and communicate openly about what your needs are. And don't hesitate to ask for help when you need it. 

In a lot of cases, people make it hard for themselves when they don’t open up and ask for help. It’s often the simplest things in life when ignored, builds into something bigger. Come to think of it, reckon it holds true wherever in the world you may be. 

It’s by no means an easy call when you have to choose between work and family - I’ve been there myself. But, all said and done, I think it helps to remind ourselves - work is work, and family is family. 

Keep things simple, and learn as you go. Good luck!","Well, I think it’s about setting one’s priorities appropriately. Work and family both need your time. However, if you plan ahead and have the support of people around you - you can balance both. 

Planning can come down to deciding how time you want to dedicate to work and your family. Choosing a time of the day when you’re most productive (work) can make a big difference. But it still won’t amount to much without the support of the people you’re with. 

Talk to them, and communicate openly about what your needs are. And don't hesitate to ask for help when you need it. 

In a lot of cases, people make it hard for themselves when they don’t open up and ask for help. It’s often the simplest things in life when ignored, builds into something bigger. Come to think of it, reckon it holds true wherever in the world you may be. 

It’s by no means an easy call when you have to choose between work and family - I’ve been there myself. But, all said and done, I think it helps to remind ourselves - work is work, and family is family. 

Keep things simple, and learn as you go. Good luck!",0,10,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/10_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-28_100046.csv,M,IN,Indian man,3,3
2020-07-27 11:54:27,2020-07-27 12:22:42,IP Address,100,1695,True,2020-07-27 12:22:42,R_1gkCeveey0mRDXO,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,5.455,1236.684,1241.955,67,"Melur is a town and municipality in the Madurai North in the Indian state of Tamil Nadu. The name Melur name comes from ""Mela Nadu"". Melur is called .
Madurai is a major city in the Indian state of Tamil Nadu. It is the cultural capital of Tamil Nadu ... Map of Madurai showing centre of the city and some important landmarks. Madurai is built around the Meenakshi Amman Temple, which acted as 
Cumbam Academy Of Acupuncture - School / College / Coaching / Tuition / Hobby Classes of diploma in acupuncture science, examination language course.
As the Lord was found under a stone post (Cumbam), He was named Kambaraya Perumal and the place Cumbam. He also brought a Shivalinga from Kasi-
Poorvika Mobile Showroom at Cumbam,TamilNadu. India . 250 Showrooms and counting in TamilNadu,Pondichery and Bangalore.
Poorvika Mobile Showroom at Cumbam,TamilNadu. India . 250 Showrooms and counting in TamilNadu,Pondichery and BangaloreTheni situated in Southern Tamil Nadu has always been a major tourist attraction zone. Its great dams, large waterfalls, countless pilgrim centers, attractive 
.Theni is the place where you can stay and catch buses/ cars to go around the places. First District in tamilnadu(india) got a three international accreditation 

","Copy and paste your text into the online editor to count its words and To check word count, simply place your cursor into the text box above and start typing.You can also copy and paste text from another program over into the online editorto write a minimum or maximAs long as you do necessary pre-writing, it should only take an hour-and-a-half to write 2,000 words. But you should spend an extra half-hour editing it. But I did once write a 2,000 word paper in 35 minutes so it really depends on you. That depends on the topic of the essay.um amount of words for an article, essay, reportIt simply means dat u have to complete Ur stuff within 200 words. If it contains less than 200 then also it will be fine but word limit need not to exceed over 200
 In most cases, you should be able to provide additional examples which will use this for every statement you write as it will begin to look like filler, but using it ..Also, teachers, please don't make the minimu Theni is the place where you can stay and catch buses/ cars to go around the places. First District in tamilnadu(india) 
",0,11,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/11_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-28_100046.csv,M,IN,Indian man,3,3
2020-07-27 12:33:06,2020-07-27 12:42:39,IP Address,100,572,True,2020-07-27 12:42:39,R_9QB2MS33aBiW0YV,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,58.36,58.36,405.248,1,"I think it is a world wide problem or to say struggle that is faced by women throughout the years. But now it is changing because of the awareness and the awakening process that is spread wide along the world. At my yearly stages my mom used to work a lot in order to keep our family well feed and live. My dad went away after my birth but my mother never moved on. She accepted that situation as a challenge and lived all these years and struggled to grow us and now we brother and sisters are taking good care of her. I used to ask to my mom that why area you always working isn't that pain. She replied ""I am not doing this because of no other way, i am doing this because i love to do for you and our family"". That is where my life changed and i started to look the lives in different way. I go for work and my husband too. We shared our home works a half. One day he looks after laundry and next day i will. and that is not mandatory. If some one feels not good other will take care of that. So everything is about mutual sharing and understanding.","I think it is a world wide problem or to say struggle that is faced by women throughout the years. But now it is changing because of the awareness and the awakening process that is spread wide along the world. At my yearly stages my mom used to work a lot in order to keep our family well feed and live. My dad went away after my birth but my mother never moved on. She accepted that situation as a challenge and lived all these years and struggled to grow us and now we brother and sisters are taking good care of her. I used to ask to my mom that why area you always working isn't that pain. She replied ""I am not doing this because of no other way, i am doing this because i love to do for you and our family"". That is where my life changed and i started to look the lives in different way. I go for work and my husband too. We shared our home works a half. One day he looks after laundry and next day i will. and that is not mandatory. If some one feels not good other will take care of that. So everything is about mutual sharing and understanding.",0,12,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/12_recipient.txt"" border=""0"" >
</object>",gone,M_IN_1_2020-07-28_100046.csv,M,IN,Indian man,3,3
2020-07-31 04:33:04,2020-07-31 04:40:46,IP Address,100,461,True,2020-07-31 04:40:46,R_1pWsszturQ4A9Ib,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,0.858,147.569,390.676,15,"this was the  good survey Being a parent, managing a job, maintaining a home and having some sort of social life ... Your workspace doesn't have to be its own room but it should feel as separate ... You may not always feel in control but there are things you can do and think about ... Get advice on all aspects of bullying, from online to bullying at work.I write about careers, jobs and the ever-changing workforce. ... Here are five ways to optimize your space for remote work. ... built with your job in mind, and so creating the space you need to be productive may ... In an effort to reconcile this  conflicting advice, we asked a productivity coach for her two cents.Consider the Affiction you will give to all your Friends, by your Con|tinuance in them. ... moral Obligations to my Master, in order to shew the Bravery of a bad Heart, ... for your Family's sake, for your own sake, before it be too late, to reflect as you ... Advice from a Father to a young Beginner, what Company to chuse, and how Every child capable of forming his or her own views ... to children under its provisions. ... This resource guide is based on and elaborates the UN Committee on the Rights of the Child","this was the  good survey Being a parent, managing a job, maintaining a home and having some sort of social life ... Your workspace doesn't have to be its own room but it should feel as separate ... You may not always feel in control but there are things you can do and think about ... Get advice on all aspects of bullying, from online to bullying at work.I write about careers, jobs and the ever-changing workforce. ... Here are five ways to optimize your space for remote work. ... built with your job in mind, and so creating the space you need to be productive may ... In an effort to reconcile this  conflicting advice, we asked a productivity coach for her two cents.Consider the Affiction you will give to all your Friends, by your Con|tinuance in them. ... moral Obligations to my Master, in order to shew the Bravery of a bad Heart, ... for your Family's sake, for your own sake, before it be too late, to reflect as you ... Advice from a Father to a young Beginner, what Company to chuse, and how Every child capable of forming his or her own views ... to children under its provisions. ... This resource guide is based on and elaborates the UN Committee on the Rights of the Child",0,13,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/13_recipient.txt"" border=""0"" >
</object>",gone,"M_IN_1_July+31,+2020_09.12.csv",M,IN,Indian man,3,3
